name,website,twitter,github,category,tvl_usd
Binance CEX,https://www.binance.com,binance,,DeFi,190361000000.00
Aave V3,https://aave.com,aave,,Lending,37786000000.00
Lido,https://lido.fi/,LidoFinance,"{""lidofinance""}",DeFi,33023500000.00
OKX,https://www.okx.com,okx,,DeFi,26363800000.00
Bitfinex,https://www.bitfinex.com,bitfinex,,DeFi,25546900000.00
Bybit,https://www.bybit.com,Bybit_Official,,DeFi,23008000000.00
Robinhood,https://robinhood.com,RobinhoodApp,"{""robinhood""}",DeFi,20642500000.00
EigenLayer,https://www.eigenlayer.xyz/,eigenlayer,"{""Layr-Labs""}",DeFi,16090800000.00
WBTC,https://wbtc.network/,WrappedBTC,"{""WrappedBTC""}",Bridge,13793900000.00
Binance staked ETH,https://www.binance.com/en/wbeth,binance,,DeFi,13581600000.00
Aave,https://aave.com,AaveAave,aave/aave-v3-core,Lending,10000000000.00
ether.fi Stake,https://app.ether.fi/eeth,ether_fi,,DeFi,9512500000.00
Ethena USDe,https://www.app.ethena.fi/join/3y20d,ethena_labs,,DeFi,9390470000.00
Gemini,https://www.gemini.com,Gemini,,DeFi,9262580000.00
Morpho V1,https://app.morpho.org,MorphoLabs,,Lending,8430430000.00
Bitget,https://www.bitget.com,bitgetglobal,,DeFi,8233520000.00
Coinbase Bridge,https://www.coinbase.com/,coinbase,,Bridge,7800760000.00
Gate,https://www.gate.com,Gate,,DeFi,7717520000.00
Binance Bitcoin,https://www.binance.com/en/collateral-btokens,binance,,Bridge,7487690000.00
Pendle,https://pendle.finance/,pendle_fi,"{""pendle-finance""}",Yield,6928070000.00
Sky Lending,https://sky.money/,SkyEcosystem,,DeFi,6803490000.00
HTX,https://www.htx.com/,HuobiGlobal,,DeFi,6487680000.00
Babylon Protocol,https://babylonlabs.io,babylonlabs_io,,DeFi,6247920000.00
SparkLend,https://app.spark.fi/points/KNQ5HD,sparkdotfi,,Lending,5663130000.00
Arbitrum Bridge,https://bridge.arbitrum.io,arbitrum,,Bridge,5522390000.00
USDT0,https://usdt0.to,USDT0_to,,Bridge,5457780000.00
Bitmex,https://www.bitmex.com,BitMEX,,DeFi,5422010000.00
MEXC,https://www.mexc.com,MEXC_Official,,DeFi,5036340000.00
Deribit,https://www.deribit.com,DeribitExchange,,DeFi,5017440000.00
Uniswap,https://uniswap.org,Uniswap,Uniswap/uniswap-v3-core,DEX,5000000000.00
Hyperliquid Bridge,https://hyperliquid.xyz,HyperliquidX,,Bridge,4735210000.00
KuCoin,https://www.kucoin.com,kucoincom,,DeFi,4711140000.00
JustLend,https://justlend.just.network,DeFi_JUST,"{""justlend""}",Lending,4459920000.00
Base Bridge,https://bridge.base.org/deposit,BuildOnBase,,Bridge,4192240000.00
JustCryptos,https://just.network/token,DeFi_JUST,,Bridge,4021540000.00
Crypto-com,https://crypto.com,cryptocom,,DeFi,3542040000.00
Veda,https://veda.tech,veda_labs,"{""Veda-Labs""}",DeFi,3175170000.00
Maple,https://www.maple.finance,maplefinance,,Lending,3096820000.00
Spark Liquidity Layer,https://app.spark.fi/points/KNQ5HD,sparkdotfi,,DeFi,3076490000.00
Kamino Lend,https://kamino.finance/,KaminoFinance,,Lending,2950240000.00
BlackRock BUIDL,https://securitize.io/,BlackRock,,DeFi,2865220000.00
Uniswap V3,https://uniswap.org/,Uniswap,,DEX,2787990000.00
Jito Liquid Staking,https://jito.network,jito_sol,,DeFi,2649800000.00
Rocket Pool,https://rocketpool.net,Rocket_Pool,"{""rocket-pool""}",DeFi,2436180000.00
